tweetID	 gramID	 count
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	8	1
1	9	1
1	12	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
2	15651	1
2	17170	1
2	20	2
2	23	1
2	25	1
2	27	1
2	28	1
2	29	1
2	31	1
3	34	1
3	37	2
3	15654	1
3	40	1
3	41	1
3	42	1
3	43	1
3	45	1
3	46	1
3	47	1
3	50	1
3	40383	1
3	39301	1
4	64	1
4	44418	1
4	15658	1
4	51	1
4	52	1
4	53	1
4	54	1
4	55	1
4	56	1
4	62	1
4	63	1
5	65	1
5	66	1
5	68	1
5	69	1
5	21086	1
6	71	1
6	72	1
6	74	1
6	24407	1
6	77	1
6	78	1
6	15663	1
6	81	1
6	51	1
6	85	1
6	86	1
6	87	1
6	88	1
6	34999	1
7	96	1
7	97	1
7	98	1
7	91	1
8	100	1
8	101	1
8	104	1
8	105	1
8	106	1
8	107	1
8	109	1
8	111	1
8	113	1
8	114	1
8	115	1
11	120	1
11	121	1
11	116	1
12	123	1
12	124	1
12	29	1
12	126	1
12	125	1
13	128	1
13	129	1
13	130	1
13	131	1
13	133	1
13	134	1
13	135	1
13	136	1
13	127	1
14	21792	1
14	26703	1
14	35577	1
14	141	2
14	143	1
14	144	1
14	145	1
14	151	1
14	121	1
14	27	1
14	15679	1
15	160	2
15	15684	1
15	165	1
15	143	1
15	153	1
15	156	1
15	159	1
16	17703	1
16	168	1
16	169	1
16	170	1
16	173	1
16	174	1
16	175	1
16	176	1
16	36488	1
16	19	1
17	4	1
17	181	1
17	182	1
17	183	1
17	184	1
17	185	1
17	186	1
17	187	1
18	188	1
18	189	1
18	34999	1
19	192	1
19	194	1
19	170	1
19	15694	1
19	15696	1
19	15697	1
19	24052	1
20	72870	1
20	198	1
20	72871	1
20	74	2
20	33035	1
20	205	1
20	206	1
20	207	1
20	15698	1
20	15699	1
20	85	1
20	15702	1
20	170	1
20	16989	1
20	15701	1
21	15714	1
21	209	1
21	211	1
21	212	1
21	213	1
21	215	1
21	216	1
21	217	1
21	218	1
21	219	1
21	220	1
21	15710	1
22	221	1
22	206	1
23	224	1
23	65	1
23	227	1
23	228	1
23	229	1
23	225	1
23	168	1
23	233	1
23	234	1
23	231	1
23	173	1
23	232	1
23	15717	1
23	20	1
23	15720	1
23	17316	1
23	222	1
23	223	1
24	130	1
24	236	1
24	15725	1
24	238	1
24	239	1
24	240	1
24	241	1
24	211	1
24	15710	1
25	15729	1
25	243	1
26	4	2
26	17322	1
26	183	1
26	23743	1
26	247	1
26	248	1
26	249	1
26	250	1
26	251	1
26	252	1
26	253	1
26	15737	1
27	256	1
27	259	1
27	100	1
27	15739	1
27	255	1
28	51	1
28	15740	1
28	261	1
29	263	1
29	264	1
29	169	1
29	266	1
29	268	1
29	55984	1
29	265	1
29	27	1
30	192	1
30	15746	2
30	269	2
30	271	1
30	272	1
30	273	1
30	274	1
30	275	1
30	276	1
30	277	1
30	279	1
30	280	1
30	281	1
30	282	1
31	283	1
31	284	1
31	101	1
32	288	1
32	289	1
32	21228	1
32	18989	1
32	33392	1
32	286	1
33	290	1
33	294	1
33	295	1
33	296	1
33	297	1
33	298	1
33	15755	1
33	15757	1
33	15752	1
33	72890	1
34	100	1
34	17064	1
34	299	1
34	302	1
34	15759	1
34	15760	1
34	305	1
34	306	1
34	307	1
34	20	1
35	256	1
35	321	1
35	15702	1
35	305	1
35	15763	1
35	309	1
35	310	1
35	3959	1
35	313	1
35	314	1
35	315	1
35	318	1
36	72896	1
36	322	1
36	323	1
36	325	1
36	328	1
36	15769	1
36	15771	1
36	72895	1
37	72899	1
37	329	1
37	330	1
37	332	1
37	333	1
37	274	1
37	15773	1
37	15774	1
38	337	1
38	335	1
38	341	1
38	342	1
38	255	1
39	15777	1
39	15779	1
39	343	1
39	345	1
39	186	1
39	346	1
40	347	1
40	349	1
41	353	1
41	66	1
41	355	1
41	356	1
41	357	1
41	358	1
41	359	1
41	360	1
41	105	1
41	298	1
41	15783	1
41	354	1
41	362	1
41	361	1
41	217	1
41	4539	1
41	29	1
41	351	1
43	17120	1
43	356	1
43	72901	1
43	35048	1
43	15787	1
43	15788	1
43	365	1
43	366	1
43	367	1
43	368	1
43	369	1
43	370	1
43	371	1
43	372	1
43	15702	1
44	15792	1
44	116	1
44	374	1
44	375	1
44	376	1
44	377	1
44	378	1
44	251	1
45	15793	1
45	15794	1
46	66	1
46	231	1
46	18411	1
46	16533	1
46	57369	1
46	380	1
46	381	1
46	382	1
47	35528	1
47	15777	1
47	41063	1
47	32363	1
47	40567	1
48	385	1
48	386	1
48	387	1
48	388	1
48	165	1
48	391	1
48	389	1
48	46442	1
48	53	1
48	101	1
49	392	1
49	393	1
50	396	1
50	397	1
50	398	1
51	402	1
51	302	1
51	286	1
51	399	1
52	15809	1
52	28322	1
52	15811	1
52	165	1
52	16052	1
52	406	1
52	407	1
52	408	1
52	409	1
52	410	1
52	411	1
52	14010	1
53	17316	1
53	29034	1
53	184	1
53	28667	1
53	412	1
53	413	1
53	414	1
54	296	1
54	416	1
54	186	1
54	415	1
56	417	1
56	418	1
56	419	1
56	420	1
56	421	1
56	15816	1
56	35394	1
56	24975	1
56	27	1
56	286	1
57	420	1
57	424	1
57	425	1
57	15818	1
57	15817	1
57	40351	1
57	127	1
58	426	1
58	15819	1
59	428	1
60	429	1
60	366	2
60	431	2
60	432	1
60	433	1
60	434	2
60	51	2
60	52	1
60	430	1
60	151	1
60	15822	1
60	252	1
61	28488	1
61	57453	1
61	437	1
61	439	1
61	440	1
61	441	1
62	428	1
63	15824	1
63	443	1
63	444	1
63	429	1
63	445	1
64	448	1
64	446	1
64	447	1
65	353	1
65	450	1
65	261	1
65	449	1
65	15826	1
65	15740	1
66	168	1
66	321	1
66	451	1
66	452	1
66	453	1
67	376	1
67	459	1
67	18453	1
68	72914	1
68	43	1
68	466	1
68	463	1
68	465	1
68	274	1
68	467	1
68	468	1
68	469	1
68	470	1
68	471	1
68	472	1
68	15829	1
69	2	1
69	133	1
69	173	1
69	477	1
69	309	1
69	474	1
69	475	1
69	282	1
69	478	1
69	479	1
70	480	1
70	15842	1
70	15843	1
70	23916	1
70	70769	1
70	98713	1
70	72922	1
70	19933	1
70	17950	1
71	481	1
71	3	1
71	484	1
71	15844	1
71	483	1
72	353	1
72	485	1
72	486	1
72	487	1
72	47345	1
72	33791	1
73	488	1
74	128	1
74	186	1
74	491	1
74	492	1
74	134	1
75	15849	1
75	18701	1
76	232	1
76	15851	1
76	15852	1
76	493	1
76	269	1
76	497	1
76	498	1
76	115	1
76	213	1
76	186	1
77	499	1
77	500	1
77	501	1
77	502	1
77	503	1
78	505	1
78	18742	1
79	4	1
79	181	1
79	182	1
79	183	1
80	512	1
80	513	1
80	105	1
80	509	1
80	15864	1
80	3959	1
80	120	1
80	506	1
80	445	1
80	510	1
80	511	1
81	516	1
81	414	1
82	520	1
82	362	1
82	518	1
82	519	1
83	15873	1
83	521	1
83	333	1
83	54	1
83	443	1
83	446	1
83	41215	1
84	17248	1
84	353	1
84	4	1
84	261	1
84	15878	1
84	523	1
84	524	1
84	525	1
84	430	1
84	527	1
84	528	1
84	529	1
84	530	1
84	15740	1
85	296	1
85	17665	1
85	531	1
88	532	1
88	341	1
89	15883	1
89	533	1
89	534	1
89	535	1
89	536	1
89	537	1
90	538	1
90	407	1
91	540	1
91	539	1
91	524	1
91	541	1
92	544	1
92	225	1
92	28322	1
92	451	1
92	17316	1
92	549	1
92	15891	1
92	545	1
92	362	1
92	429	1
92	368	1
92	241	1
92	547	1
92	15893	1
92	378	1
92	542	1
92	543	1
93	450	1
93	550	1
93	554	1
93	555	1
93	557	1
93	558	1
93	463	1
93	209	1
93	182	2
93	559	1
94	560	1
94	563	1
94	562	1
94	299	1
95	15907	1
95	356	1
95	567	1
95	362	1
95	87	1
95	564	2
95	565	1
95	566	1
95	247	1
95	568	1
95	569	2
95	570	2
96	576	1
96	577	1
96	578	2
96	15910	1
96	15912	1
96	15914	1
96	429	1
96	568	1
96	574	1
96	376	1
96	571	1
96	572	1
96	573	1
96	62	1
96	575	1
97	580	1
97	582	1
97	45384	1
97	366	1
97	3473	1
97	474	1
97	570	1
98	583	1
98	584	1
98	585	1
98	587	1
98	588	1
98	589	1
98	443	1
100	66	1
100	493	1
100	590	1
100	15922	1
100	72954	1
100	253	1
101	592	1
101	591	1
101	115	1
101	15924	1
101	491	1
102	17703	1
102	593	1
102	594	1
102	595	1
102	596	1
102	597	1
102	15925	1
103	69	1
103	599	1
103	54125	1
103	598	1
103	15929	1
103	15928	1
103	601	1
104	65	1
104	355	1
104	420	1
104	16552	1
104	590	1
104	72957	1
104	241	1
104	466	1
104	73102	1
104	215	1
104	376	1
104	569	1
104	15930	1
104	604	1
104	605	1
104	15934	1
104	15935	1
105	15936	1
105	609	1
105	610	1
105	611	1
105	16464	1
105	19218	1
105	15907	1
105	564	1
105	74012	1
105	606	1
105	607	1
107	612	1
107	294	1
107	614	1
107	615	1
107	617	1
107	618	1
107	188	1
107	349	2
108	192	1
108	21440	1
108	34	1
108	133	1
108	497	1
108	182	1
108	474	1
108	506	1
109	224	1
109	578	1
109	18439	1
109	15948	1
109	15947	1
109	620	1
109	621	2
109	624	1
109	211	1
109	15864	1
110	516	1
110	549	1
110	615	1
110	22487	1
110	627	1
110	628	1
110	629	1
110	630	1
110	631	1
110	632	1
110	633	1
110	346	1
110	477	1
110	15893	1
111	488	1
111	634	1
111	15955	1
111	41987	1
111	27757	1
112	635	1
112	15956	1
112	15957	1
113	176	1
113	636	1
113	557	1
113	631	1
114	289	1
114	151	1
114	445	1
114	439	1
114	15961	1
114	538	1
114	637	1
114	638	1
114	639	1
115	640	1
115	15969	1
115	642	1
115	643	1
115	644	1
115	646	1
115	647	1
115	648	1
115	20174	1
115	370	1
115	15964	1
116	19	1
116	72971	1
116	133	1
116	15974	1
116	15976	1
116	15977	1
116	651	1
116	653	1
116	654	1
116	655	1
116	627	1
116	310	1
116	572	1
116	27269	1
117	15984	1
117	15980	1
117	429	1
117	656	1
117	657	1
117	658	1
117	659	1
117	660	1
118	17	1
118	661	1
118	662	1
118	663	1
118	664	2
118	186	1
118	667	1
118	668	1
118	666	1
118	20606	1
119	15851	1
119	366	1
119	222	1
119	669	1
119	670	1
119	671	1
120	672	1
120	675	1
120	677	1
120	678	1
120	679	1
120	296	1
120	41	1
120	680	1
120	21827	1
120	663	1
120	477	1
121	256	1
121	321	1
121	21698	1
121	227	1
121	682	1
121	683	1
121	684	1
121	685	1
121	686	1
121	688	1
121	689	1
121	690	1
122	15996	1
122	194	1
122	15907	1
122	360	1
122	697	1
122	15997	1
122	692	1
122	693	1
122	694	1
122	695	1
122	696	1
122	564	1
122	698	1
122	699	1
122	700	1
122	701	1
122	446	1
123	224	1
123	704	1
123	706	1
123	707	1
123	705	1
123	296	1
123	276	1
123	216	1
123	702	1
123	703	1
124	28322	1
124	17316	1
124	710	1
124	711	1
124	41711	1
124	209	1
124	697	1
124	708	1
126	712	1
126	713	1
126	715	1
126	332	1
126	141	1
127	44674	1
127	716	1
127	717	1
127	718	1
127	719	1
129	720	1
129	723	1
129	724	1
129	725	1
129	18411	1
130	16012	1
130	188	1
130	71	1
131	583	1
131	16015	1
131	16016	1
131	726	1
131	727	1
131	638	1
131	479	1
132	632	1
132	730	1
132	731	1
132	732	1
132	733	1
132	734	1
133	256	1
133	737	2
133	738	1
133	355	1
133	740	1
133	741	1
133	742	1
133	743	1
133	559	1
133	176	1
133	739	1
133	598	1
133	18736	1
133	16024	1
133	669	1
133	542	1
134	16032	1
134	747	1
134	4	1
134	745	1
134	746	1
134	523	1
134	748	1
134	109	1
134	590	1
134	749	1
134	467	1
134	17460	1
134	15702	1
134	16029	1
134	15934	1
135	358	1
135	752	1
135	754	1
135	87	1
135	217	1
135	666	1
135	349	1
136	102689	1
136	16040	1
136	23916	1
136	592	1
136	15794	1
136	15924	1
136	72984	1
136	72985	1
136	80027	1
136	99871	1
137	669	1
138	760	1
138	45	1
138	758	1
138	757	1
139	97	1
139	761	1
139	604	1
139	689	1
141	362	1
142	768	1
142	545	1
142	771	1
142	772	1
142	769	1
142	16046	1
142	765	1
142	441	2
142	762	1
142	763	1
142	764	1
142	29	1
142	766	1
142	767	1
143	192	1
143	481	1
143	323	1
143	5	1
143	19532	1
143	429	1
143	15694	1
143	655	1
143	465	1
143	16052	1
143	408	1
143	15740	1
143	261	1
144	774	1
144	775	1
144	776	1
144	778	1
144	780	1
144	46	1
144	441	1
145	288	1
145	737	1
145	131	1
145	781	1
145	782	1
145	783	1
145	528	1
145	785	1
145	502	1
145	380	1
145	125	1
146	576	1
146	225	1
146	485	1
146	16065	1
146	792	1
146	51	1
146	788	1
146	789	1
146	790	1
146	791	1
146	787	1
146	794	1
146	222	1
146	16063	1
147	799	1
148	800	1
148	554	1
149	72994	1
149	805	2
149	15910	1
149	28070	1
149	808	1
149	809	1
149	16074	1
149	16075	1
149	16079	1
149	16080	1
149	16081	1
149	439	1
149	696	1
149	14010	1
149	574	1
149	575	1
150	228	1
150	229	1
150	264	1
150	812	1
150	811	1
150	716	1
150	813	1
150	814	1
150	815	1
150	16082	1
150	16083	1
151	587	1
151	206	1
151	816	1
151	817	1
151	818	1
151	819	1
151	820	1
151	52622	1
151	279	1
152	18459	1
152	27	1
154	194	1
154	170	1
154	523	1
154	16087	1
154	823	1
154	821	1
154	822	1
154	279	1
154	824	1
154	377	1
154	16090	1
154	16091	1
154	16093	1
154	16089	1
154	15701	1
156	16096	1
156	321	1
156	16098	1
156	583	1
156	426	1
156	15819	1
156	18319	1
156	307	1
156	824	1
156	825	1
156	826	1
156	827	1
156	73002	1
156	16094	1
156	16095	1
157	570	1
157	828	1
157	69	1
157	830	1
157	829	1
158	66	1
158	24292	1
159	832	1
159	5	1
159	22727	1
159	16104	1
159	720	1
159	52	1
159	44598	1
159	30169	1
160	833	1
160	98	1
160	835	1
160	836	1
160	838	1
160	711	1
160	840	1
160	841	1
160	842	1
160	843	1
160	834	1
160	558	1
160	206	1
160	318	1
161	64	1
161	20067	1
161	844	2
161	845	1
161	846	1
161	847	1
161	849	2
161	850	1
162	19016	1
162	851	1
162	443	1
162	852	1
162	853	1
163	420	1
163	615	1
163	136	1
163	24491	1
163	854	1
163	855	1
164	856	1
164	857	1
164	668	1
165	131	1
165	4	1
165	550	1
165	855	1
165	153	1
165	858	1
165	859	1
165	860	1
165	861	1
166	864	1
166	865	1
166	866	1
166	867	1
166	277	1
166	858	1
166	863	1
167	36000	1
167	871	1
167	872	1
167	873	1
167	349	1
167	60575	1
168	19366	1
168	874	1
168	876	1
168	877	1
168	878	1
168	18104	1
168	313	1
168	16127	1
169	672	1
169	880	1
169	879	1
170	16130	1
170	16132	1
170	15818	1
170	87	1
170	882	1
170	881	1
170	370	1
170	883	1
170	884	2
170	694	1
170	599	1
170	45117	1
170	127	1
171	737	1
171	886	1
171	116	1
171	702	1
171	374	1
171	825	1
171	20534	1
171	670	1
171	885	1
172	141	1
172	887	3
173	440	1
173	656	1
173	16139	1
173	533	1
174	699	1
174	583	1
174	589	1
174	16142	1
174	16143	1
174	16949	1
174	890	1
174	891	1
175	896	1
175	897	1
175	420	1
175	74	1
175	33744	1
175	213	1
175	217	1
175	80762	1
175	894	1
175	895	1
176	898	1
176	899	1
176	900	1
176	901	1
176	902	1
176	557	1
176	53667	1
176	439	1
176	702	1
176	31	1
177	64	1
177	903	1
177	904	1
177	905	1
177	426	1
177	15819	1
177	15694	1
177	282	1
178	44920	1
178	49158	1
178	298	1
178	23119	1
178	305	1
178	536	1
178	906	1
179	101	1
179	907	1
179	908	1
179	909	1
179	42036	1
179	343	1
179	670	1
180	912	1
180	913	1
180	298	2
180	911	1
181	16160	1
